cat,coef_x,feat_x,coef_y,feat_y
Автомобили с пробегом,6.06290475292,номер,-2.57614744573,состоян
Аквариум,3.09826872754,стерляд,-1.9094987731,аквариум
Аудио и видео,3.97493992087,кред,-2.60416126358,телевизор
Билеты и путешествия,5.36568887381,виз,-3.71805733991,тур
Бытовая техника,2.885677354,электрошокер,-3.34858360747,холодильник
Вакансии,4.86249643795,url,-3.81710380233,треб
Велосипеды,0.860495816642,меня,-0.984509088646,состоян
Водный транспорт,3.44833925031,документ,-2.12876100401,лодк
Гаражи и машиноместа,0.365765293383,сооружен,-0.32267849358,гараж
Готовый бизнес,5.41288615824,url,-4.79619923737,магазин
Грузовики и спецтехника,7.37904658831,документ,-3.04332657295,состоян
Детская одежда и обувь,0.182241167282,карт,-0.175085515441,комбинезон
"Дома, дачи, коттеджи",1.54822307691,сведен,-0.582546879432,дом
Другие животные,1.81792485351,раб,-2.38818243087,месяц
Запросы на услуги,6.09054653588,массаж,-5.39732723195,нян
Запчасти и аксессуары,6.25526500314,номер,-2.14770609129,диск
Земельные участки,1.06840666393,сведен,-0.692047892441,участок
Знакомства,6.9634870486,встреч,-4.69059999194,серьезн
"Игры, приставки и программы",4.51051473563,прошивк,-3.78066718586,состоян
Квартиры,0.623702241054,площад,-0.280174991712,квартир
Книги и журналы,4.09285183285,дипломн,-2.59701076688,книг
Коллекционирование,5.82845888151,нож,-6.57471534418,монет
Коммерческая недвижимость,2.48513471498,сведен,-1.18296330253,сдам
Комнаты,0.687463673118,прописк,-0.778883609144,комнат
Кошки,3.40082734472,найд,-1.73435433836,котят
Красота и здоровье,5.23669798864,линз,-4.89686851522,волос
Мебель и интерьер,3.63993134597,калья,-1.50470506256,дива
Мотоциклы и мототехника,3.48680749049,документ,-3.12759558758,состоян
Музыкальные инструменты,0.593893140314,бонг,-0.370991678274,пианин
Настольные компьютеры,1.07573446209,пистолет,-1.29910619166,gb
Недвижимость за рубежом,1.75529022784,стран,-1.61115380872,квартир
Новые автомобили,2.5163536895,номер,-1.45291145236,сиден
Ноутбуки,0.690528575228,мр,-1.16471305524,гб
Оборудование для бизнеса,6.13439500342,стоматологическ,-2.68725936739,станок
"Одежда, обувь, аксессуары",2.63580877829,нож,-1.66418219638,плат
Оргтехника и расходники,2.50359468227,сигарет,-2.54281860834,принтер
Охота и рыбалка,5.72090985281,пистолет,-3.4018475778,воблер
Планшеты и электронные книги,1.62745821211,сигарет,-1.23094407418,состоян
Посуда и товары для кухни,7.00815721808,калья,-3.49405126111,набор
Предложения услуг,7.63664185835,массаж,-3.5736195344,ремонт
Продукты питания,8.40229762338,икр,-4.96506424651,мяс
Птицы,4.31149794771,мандаринк,-1.99935303065,клетк
Растения,2.81586854601,табак,-2.25611950258,цвет
Резюме,6.97183675566,массаж,-3.07478128071,ищ
Ремонт и строительство,6.46549342515,магнит,-1.56009376338,двер
Собаки,4.985012867,найд,-3.49893929709,щенк
Спорт и отдых,6.28765211605,калья,-6.3065934872,размер
Телефоны,1.69480759151,пистолет,-2.21105437097,состоян
Товары для детей и игрушки,1.65217154419,витамин,-1.90420599674,коляск
Товары для животных,1.80902119887,препарат,-3.31448762813,клетк
Товары для компьютера,1.55027598814,сигарет,-1.00350897917,монитор
Фототехника,2.5692714757,ручк,-1.46897035174,состоян
Часы и украшения,6.08707405752,лом,-4.94189152754,час
