cat,coef_x,feat_x,coef_y,feat_y
Автомобили с пробегом,4.58898948902,номера,-2.18000602807,состоянии
Аквариум,2.85423703272,стерлядь,-1.66603099411,аквариум
Аудио и видео,3.76282115512,нашем,-2.93467223944,телевизор
Билеты и путешествия,4.76512019352,визы,-3.7193978561,концерт
Бытовая техника,2.80036507925,электрошокер,-3.48619808168,холодильник
Вакансии,5.24335054128,url,-4.39579537866,требуется
Велосипеды,1.18852041666,куплю,-0.836464874872,велосипед
Водный транспорт,3.17456686154,документы,-1.70041015366,лодка
Гаражи и машиноместа,0.377912927701,сооружение,-0.267564923277,гараж
Готовый бизнес,6.22297988715,url,-5.61987327726,магазин
Грузовики и спецтехника,7.87796704693,документы,-2.48775822144,состоянии
Детская одежда и обувь,0.147197075782,помогите,-0.155261786105,комбинезон
"Дома, дачи, коттеджи",1.29332795958,сведения,-0.409812722346,дом
Другие животные,1.43491534053,не,-1.77145760934,возраст
Запросы на услуги,5.76578184598,массаж,-4.81526812411,няня
Запчасти и аксессуары,4.88502559822,номера,-1.95086520263,диски
Земельные участки,0.981067647178,сведения,-0.609322316929,участок
Знакомства,7.86341462802,встреч,-4.70089228793,серьезных
"Игры, приставки и программы",4.01454595051,прошивка,-3.01367250922,состоянии
Квартиры,0.587006757485,площадь,-0.189734789089,квартира
Книги и журналы,3.25482144414,работа,-2.33118954829,книги
Коллекционирование,5.72401463249,нож,-5.08859481219,монеты
Коммерческая недвижимость,2.08473208964,сведения,-1.07798035674,сдам
Комнаты,0.490639953893,договор,-0.563197359838,комната
Кошки,2.57263048492,найден,-1.91696952473,котята
Красота и здоровье,4.85065934048,линзы,-4.25994727025,волосы
Мебель и интерьер,3.5752777684,кальян,-1.53373844104,диван
Мотоциклы и мототехника,4.39213665153,документы,-2.21967305001,состоянии
Музыкальные инструменты,0.586771315052,куплю,-0.356180301117,пианино
Настольные компьютеры,1.10265062594,пистолет,-1.26600785866,gb
Недвижимость за рубежом,1.63012929837,страна,-1.27384392691,квартира
Новые автомобили,2.06893557864,номер,-1.32619939198,система
Ноутбуки,0.655586985459,пневматический,-1.17658199305,гб
Оборудование для бизнеса,4.5488558656,магнит,-3.08518844073,станок
"Одежда, обувь, аксессуары",2.57084313931,нож,-1.61319927279,платье
Оргтехника и расходники,2.03164413582,электрошокер,-2.61165216073,принтер
Охота и рыбалка,6.35447449698,пистолет,-3.29197623959,размер
Планшеты и электронные книги,1.18657232113,сигарета,-1.23338012968,gb
Посуда и товары для кухни,6.97232802065,кальян,-3.34941604361,набор
Предложения услуг,8.14738191023,массаж,-4.16567728905,ремонт
Продукты питания,8.16547491055,икра,-5.83535895565,мясо
Птицы,4.43514334776,мандаринки,-1.56073926834,клеткой
Растения,2.51484810005,табак,-2.47374743192,см
Резюме,6.2654764044,массаж,-3.2191858438,работу
Ремонт и строительство,7.23914890443,магнит,-1.40812708355,продам
Собаки,3.91765643464,собака,-3.558482391,щенки
Спорт и отдых,6.25712580687,кальян,-6.53047027983,размер
Телефоны,1.72016054457,пистолет,-1.70496951912,состояние
Товары для детей и игрушки,1.36702359953,пистолет,-1.47143715703,коляска
Товары для животных,2.02539635159,мг,-2.85900932076,клетка
Товары для компьютера,1.09900386556,магнит,-0.94941536086,монитор
Фототехника,2.52104960441,ручка,-1.39608820133,canon
Часы и украшения,5.9295621073,лом,-5.15931813503,часы
